Unix,Date,Symbol,Open,High,Low,Close,Volume ALPACA,Volume BUSD,tradecount
1.69024E+12,7/25/2023,ALPACABUSD,0.1398,0.1514,0.1372,0.1461,508977,73107.37698,574
1.69016E+12,7/24/2023,ALPACABUSD,0.1518,0.1528,0.1377,0.1397,217921.8,31069.39011,551
1.69007E+12,7/23/2023,ALPACABUSD,0.1459,0.1537,0.1455,0.1516,191751.6,28759.88604,441
1.68998E+12,7/22/2023,ALPACABUSD,0.1486,0.1491,0.1451,0.1456,85937.9,12659.99598,181
1.6899E+12,7/21/2023,ALPACABUSD,0.1496,0.1507,0.1472,0.1484,92282.1,13742.03729,200
1.68981E+12,7/20/2023,ALPACABUSD,0.1503,0.1527,0.1476,0.1492,228979.7,34384.45213,654
1.68972E+12,7/19/2023,ALPACABUSD,0.1476,0.153,0.147,0.1504,120839.5,18034.34983,299
1.68964E+12,7/18/2023,ALPACABUSD,0.1517,0.1518,0.146,0.147,77432,11494.80127,221
1.68955E+12,7/17/2023,ALPACABUSD,0.1534,0.1556,0.1474,0.1512,281281.2,42685.48255,701
1.68947E+12,7/16/2023,ALPACABUSD,0.1591,0.1591,0.1534,0.1534,123869.2,19323.72409,306
1.68938E+12,7/15/2023,ALPACABUSD,0.1535,0.1597,0.1531,0.1591,434083.3,68114.39693,611
1.68929E+12,7/14/2023,ALPACABUSD,0.1587,0.1609,0.1492,0.1525,174112.9,27222.27783,647
1.68921E+12,7/13/2023,ALPACABUSD,0.1526,0.1591,0.1512,0.1586,145434.1,22618.1419,382
1.68912E+12,7/12/2023,ALPACABUSD,0.1534,0.1542,0.1501,0.1528,130754,19928.69199,240
1.68903E+12,7/11/2023,ALPACABUSD,0.1528,0.1706,0.1513,0.1531,1096928.6,173869.8116,1586
1.68895E+12,7/10/2023,ALPACABUSD,0.1539,0.156,0.1496,0.1526,283047.6,43158.88407,418
1.68886E+12,7/9/2023,ALPACABUSD,0.1557,0.1698,0.1543,0.1545,1018660.8,165104.2083,1781
1.68877E+12,7/8/2023,ALPACABUSD,0.1498,0.1615,0.1492,0.1552,345951.9,53710.44171,844
1.68869E+12,7/7/2023,ALPACABUSD,0.1495,0.1517,0.1483,0.1497,63842,9597.81312,154
1.6886E+12,7/6/2023,ALPACABUSD,0.1534,0.1582,0.1491,0.1507,220824.7,34015.56166,557
1.68852E+12,7/5/2023,ALPACABUSD,0.1572,0.1592,0.1505,0.1536,266446.3,41087.99144,690
1.68843E+12,7/4/2023,ALPACABUSD,0.1542,0.1648,0.153,0.1568,490223,78042.32197,921
1.68834E+12,7/3/2023,ALPACABUSD,0.1479,0.1575,0.1474,0.1545,197658.2,29998.1147,662
1.68826E+12,7/2/2023,ALPACABUSD,0.1491,0.1491,0.1443,0.1477,229916.1,33757.57575,469
1.68817E+12,7/1/2023,ALPACABUSD,0.1491,0.1503,0.1474,0.1492,109129.7,16233.91414,338
1.68808E+12,6/30/2023,ALPACABUSD,0.1473,0.1533,0.141,0.1488,193595.1,29048.98289,672
1.688E+12,6/29/2023,ALPACABUSD,0.1473,0.1502,0.1471,0.1474,125603.6,18628.71515,382
1.68791E+12,6/28/2023,ALPACABUSD,0.1538,0.1539,0.1449,0.1473,58795,8806.57298,218
1.68782E+12,6/27/2023,ALPACABUSD,0.1511,0.156,0.1507,0.1541,56466.4,8664.7156,205
1.68774E+12,6/26/2023,ALPACABUSD,0.1535,0.1537,0.1491,0.1507,82857.7,12571.26962,256
1.68765E+12,6/25/2023,ALPACABUSD,0.1531,0.1596,0.1443,0.1539,266614.4,41359.09171,537
1.68756E+12,6/24/2023,ALPACABUSD,0.1566,0.1568,0.1496,0.1526,118992.7,18220.23031,339
1.68748E+12,6/23/2023,ALPACABUSD,0.1487,0.1577,0.1478,0.1564,243329,37077.66907,577
1.68739E+12,6/22/2023,ALPACABUSD,0.1503,0.1544,0.1483,0.1484,146898.4,22241.97161,372
1.68731E+12,6/21/2023,ALPACABUSD,0.146,0.152,0.146,0.1502,167390.3,24962.69946,413
1.68722E+12,6/20/2023,ALPACABUSD,0.1447,0.1479,0.1398,0.146,355540.5,51482.80504,548
1.68713E+12,6/19/2023,ALPACABUSD,0.1387,0.1459,0.1372,0.1451,209361.8,29361.46886,483
1.68705E+12,6/18/2023,ALPACABUSD,0.1417,0.1426,0.139,0.1391,63705.9,9015.45491,162
1.68696E+12,6/17/2023,ALPACABUSD,0.142,0.1453,0.1416,0.1418,77758.5,11176.81556,184
1.68687E+12,6/16/2023,ALPACABUSD,0.1416,0.1437,0.1394,0.1425,59281.7,8376.74494,179
1.68679E+12,6/15/2023,ALPACABUSD,0.1429,0.1438,0.1389,0.1424,125736,17682.13011,279
1.6867E+12,6/14/2023,ALPACABUSD,0.1445,0.151,0.1423,0.143,126265.6,18617.92987,380
1.68661E+12,6/13/2023,ALPACABUSD,0.144,0.1461,0.1418,0.144,121582.8,17491.23771,306
1.68653E+12,6/12/2023,ALPACABUSD,0.1442,0.1449,0.1413,0.1439,68870.7,9849.77414,228
1.68644E+12,6/11/2023,ALPACABUSD,0.1467,0.1481,0.1447,0.1449,86170.4,12636.44095,258
1.68636E+12,6/10/2023,ALPACABUSD,0.1692,0.1692,0.1429,0.1469,327150.4,49362.0747,1018
1.68627E+12,6/9/2023,ALPACABUSD,0.1727,0.1734,0.1698,0.17,59408.9,10207.03004,140
1.68618E+12,6/8/2023,ALPACABUSD,0.1661,0.1756,0.1634,0.1722,161093.2,27820.57606,344
1.6861E+12,6/7/2023,ALPACABUSD,0.1829,0.1834,0.163,0.1661,252085.3,42629.6604,564
1.68601E+12,6/6/2023,ALPACABUSD,0.1801,0.1853,0.1762,0.1835,92659.9,16702.34076,357
1.68592E+12,6/5/2023,ALPACABUSD,0.1974,0.1974,0.1779,0.1801,181886.2,33708.0981,583
1.68584E+12,6/4/2023,ALPACABUSD,0.1993,0.2084,0.1974,0.1974,241026.4,48843.36223,717
1.68575E+12,6/3/2023,ALPACABUSD,0.1964,0.2034,0.1952,0.1994,176810.6,35174.56261,609
1.68566E+12,6/2/2023,ALPACABUSD,0.1944,0.197,0.1923,0.1964,104649.3,20447.77949,359
1.68558E+12,6/1/2023,ALPACABUSD,0.1952,0.1952,0.1913,0.1942,106544.3,20564.20331,289
1.68549E+12,5/31/2023,ALPACABUSD,0.1995,0.2001,0.1924,0.1952,90509.1,17710.28381,238
1.6854E+12,5/30/2023,ALPACABUSD,0.2009,0.2018,0.1987,0.1994,69678.2,13920.33783,172
1.68532E+12,5/29/2023,ALPACABUSD,0.2047,0.2062,0.2005,0.2013,55112.5,11302.36983,153
1.68523E+12,5/28/2023,ALPACABUSD,0.2001,0.206,0.2,0.2057,50350.3,10155.63016,157
1.68515E+12,5/27/2023,ALPACABUSD,0.1988,0.2012,0.1988,0.1997,51816.9,10364.01513,135
1.68506E+12,5/26/2023,ALPACABUSD,0.1978,0.2006,0.1961,0.1991,45663.2,9040.03769,155
1.68497E+12,5/25/2023,ALPACABUSD,0.1995,0.1998,0.1968,0.1976,80458.6,15949.53575,208
1.68489E+12,5/24/2023,ALPACABUSD,0.2083,0.2083,0.1985,0.1999,43407.2,8764.64369,200
1.6848E+12,5/23/2023,ALPACABUSD,0.2104,0.2126,0.2059,0.2083,120833.5,25227.48295,265
1.68471E+12,5/22/2023,ALPACABUSD,0.2114,0.2121,0.2091,0.2105,54543.2,11515.22121,163
1.68463E+12,5/21/2023,ALPACABUSD,0.217,0.2182,0.2107,0.2111,122960.5,26449.10517,359
1.68454E+12,5/20/2023,ALPACABUSD,0.209,0.2232,0.2088,0.2168,820534.4,178464.1541,1586
1.68445E+12,5/19/2023,ALPACABUSD,0.209,0.2102,0.2084,0.2092,44490.7,9317.42813,130
1.68437E+12,5/18/2023,ALPACABUSD,0.2118,0.2125,0.206,0.209,40923,8587.19905,160
1.68428E+12,5/17/2023,ALPACABUSD,0.2117,0.2132,0.2073,0.2125,57117.4,12053.95595,224
1.6842E+12,5/16/2023,ALPACABUSD,0.2097,0.216,0.2078,0.2121,58737.2,12453.98688,193
1.68411E+12,5/15/2023,ALPACABUSD,0.2102,0.2117,0.2084,0.2095,37650.8,7916.2405,110
1.68402E+12,5/14/2023,ALPACABUSD,0.2048,0.2161,0.2036,0.2102,331919.1,70355.86574,777
1.68394E+12,5/13/2023,ALPACABUSD,0.2086,0.2088,0.2044,0.205,47019.4,9685.98386,173
1.68385E+12,5/12/2023,ALPACABUSD,0.2044,0.2143,0.1976,0.2084,259326.6,53626.0913,834
1.68376E+12,5/11/2023,ALPACABUSD,0.2209,0.2209,0.1954,0.2044,352859.9,72121.14234,1137
1.68368E+12,5/10/2023,ALPACABUSD,0.2148,0.2236,0.212,0.2212,190884.6,41539.24795,493
1.68359E+12,5/9/2023,ALPACABUSD,0.2118,0.2172,0.2118,0.2148,47326.4,10155.93264,179
1.6835E+12,5/8/2023,ALPACABUSD,0.2346,0.2355,0.2102,0.2118,142938.8,31566.13238,561
1.68342E+12,5/7/2023,ALPACABUSD,0.2313,0.2402,0.2306,0.2355,368625.8,87223.29835,865
1.68333E+12,5/6/2023,ALPACABUSD,0.2393,0.2403,0.2299,0.2309,68583.5,16004.11606,269
1.68324E+12,5/5/2023,ALPACABUSD,0.245,0.2451,0.2384,0.2401,133526.8,32350.93799,435
1.68316E+12,5/4/2023,ALPACABUSD,0.2492,0.2493,0.2446,0.2448,29335.8,7233.40667,127
1.68307E+12,5/3/2023,ALPACABUSD,0.2545,0.2573,0.2362,0.2492,313112.5,77434.71651,861
1.68299E+12,5/2/2023,ALPACABUSD,0.2514,0.2551,0.2499,0.2551,38848.7,9792.68185,167
1.6829E+12,5/1/2023,ALPACABUSD,0.2593,0.263,0.2491,0.2518,109215.3,27954.72503,400
1.68281E+12,4/30/2023,ALPACABUSD,0.2708,0.2708,0.2591,0.2591,150735.3,39988.21897,442
1.68273E+12,4/29/2023,ALPACABUSD,0.2656,0.276,0.2653,0.2706,297419.7,81227.90049,633
1.68264E+12,4/28/2023,ALPACABUSD,0.2674,0.2683,0.2644,0.2657,48527.7,12937.29664,192
1.68255E+12,4/27/2023,ALPACABUSD,0.2662,0.2723,0.2649,0.2673,272389.3,72934.26403,821
1.68247E+12,4/26/2023,ALPACABUSD,0.2585,0.2775,0.2558,0.2664,592162.1,159257.6594,1600
1.68238E+12,4/25/2023,ALPACABUSD,0.2542,0.2609,0.2516,0.2585,165475.3,42398.59668,409
1.68229E+12,4/24/2023,ALPACABUSD,0.2565,0.2593,0.2497,0.2533,97324.9,24642.20932,301
1.68221E+12,4/23/2023,ALPACABUSD,0.2665,0.2665,0.252,0.2578,156389.9,40567.45504,521
1.68212E+12,4/22/2023,ALPACABUSD,0.2635,0.2668,0.2599,0.2668,84076,22050.97651,280
1.68204E+12,4/21/2023,ALPACABUSD,0.2694,0.2796,0.261,0.2624,227929.8,61618.8104,890
1.68195E+12,4/20/2023,ALPACABUSD,0.2801,0.2821,0.2658,0.2689,211966.6,58288.88961,797
1.68186E+12,4/19/2023,ALPACABUSD,0.2914,0.2952,0.2769,0.2797,322870.5,91765.62651,1132
1.68178E+12,4/18/2023,ALPACABUSD,0.2891,0.2964,0.2884,0.2914,211221.6,61690.77242,726
1.68169E+12,4/17/2023,ALPACABUSD,0.2917,0.294,0.2862,0.2884,379858.5,110071.3101,1108
1.6816E+12,4/16/2023,ALPACABUSD,0.2918,0.2943,0.2901,0.2917,409061.5,119458.8957,918
1.68152E+12,4/15/2023,ALPACABUSD,0.2963,0.2963,0.288,0.2923,512113.6,149462.2315,1503
1.68143E+12,4/14/2023,ALPACABUSD,0.299,0.3042,0.2949,0.2963,425449,127852.9299,1319
1.68134E+12,4/13/2023,ALPACABUSD,0.3017,0.31,0.2978,0.299,891518.1,268980.4983,1813
1.68126E+12,4/12/2023,ALPACABUSD,0.3161,0.3319,0.2976,0.3012,3007012.8,942255.6194,8394
1.68117E+12,4/11/2023,ALPACABUSD,0.2968,0.3374,0.29,0.3169,3921519.6,1237683.321,10552
1.68108E+12,4/10/2023,ALPACABUSD,0.3013,0.3025,0.293,0.2967,180332.3,53469.75824,423
1.681E+12,4/9/2023,ALPACABUSD,0.2963,0.3058,0.2904,0.301,391549.6,116627.14,1292
1.68091E+12,4/8/2023,ALPACABUSD,0.2896,0.2973,0.2896,0.2963,124176.2,36503.25373,337
1.68083E+12,4/7/2023,ALPACABUSD,0.293,0.293,0.2851,0.2899,126626.6,36611.71115,341
1.68074E+12,4/6/2023,ALPACABUSD,0.295,0.2986,0.2906,0.2936,220229.4,65027.63289,646
1.68065E+12,4/5/2023,ALPACABUSD,0.2921,0.3009,0.2914,0.295,107416.9,31823.23892,519
1.68057E+12,4/4/2023,ALPACABUSD,0.2911,0.2935,0.2879,0.2922,78455.7,22817.29037,298
1.68048E+12,4/3/2023,ALPACABUSD,0.2901,0.2914,0.282,0.2905,141931.5,40801.83897,486
1.68039E+12,4/2/2023,ALPACABUSD,0.2947,0.2949,0.2888,0.2894,137230.5,40062.55532,434
1.68031E+12,4/1/2023,ALPACABUSD,0.2976,0.299,0.2908,0.2944,109263.4,32148.86742,390
1.68022E+12,3/31/2023,ALPACABUSD,0.2939,0.2978,0.2891,0.297,135895.1,39879.78405,366
1.68013E+12,3/30/2023,ALPACABUSD,0.3056,0.3073,0.2923,0.2942,375521.2,112949.7084,753
1.68005E+12,3/29/2023,ALPACABUSD,0.3039,0.3103,0.3017,0.3057,197606.6,60365.4352,529
1.67996E+12,3/28/2023,ALPACABUSD,0.294,0.3039,0.2916,0.3039,147228.7,43485.65992,520
1.67988E+12,3/27/2023,ALPACABUSD,0.3035,0.3092,0.2924,0.2939,414193.6,124509.9919,1109
1.67979E+12,3/26/2023,ALPACABUSD,0.2985,0.3096,0.2985,0.3054,82159.4,25115.32971,283
1.6797E+12,3/25/2023,ALPACABUSD,0.3046,0.3068,0.2984,0.2988,52468.9,15906.66363,224
1.67962E+12,3/24/2023,ALPACABUSD,0.3166,0.3166,0.3022,0.3044,111059.7,34473.98942,306
1.67953E+12,3/23/2023,ALPACABUSD,0.3055,0.3176,0.3036,0.316,302625.3,94284.1378,806
1.67944E+12,3/22/2023,ALPACABUSD,0.3147,0.3147,0.3018,0.306,376830.2,115195.3628,826
1.67936E+12,3/21/2023,ALPACABUSD,0.2983,0.3198,0.2981,0.314,668685,207943.885,1525
1.67927E+12,3/20/2023,ALPACABUSD,0.3147,0.3171,0.2978,0.2978,292305.9,89755.01882,1037
1.67918E+12,3/19/2023,ALPACABUSD,0.308,0.3245,0.308,0.3158,688464.8,218182.293,2291
1.6791E+12,3/18/2023,ALPACABUSD,0.3096,0.3134,0.302,0.3081,379689.4,116863.5875,919
1.67901E+12,3/17/2023,ALPACABUSD,0.2914,0.3116,0.2907,0.3093,300557.8,90327.98369,886
1.67892E+12,3/16/2023,ALPACABUSD,0.2903,0.2953,0.2876,0.2923,232153.5,67652.19214,681
1.67884E+12,3/15/2023,ALPACABUSD,0.3083,0.3139,0.2875,0.2911,398415.5,120209.0274,1265
1.67875E+12,3/14/2023,ALPACABUSD,0.3118,0.3215,0.3021,0.3088,686826.1,214394.6446,2184
1.67867E+12,3/13/2023,ALPACABUSD,0.2993,0.3166,0.2884,0.3118,695814.2,211248.6084,2524
1.67858E+12,3/12/2023,ALPACABUSD,0.2824,0.2997,0.2772,0.2994,428077.3,122197.629,1005
1.67849E+12,3/11/2023,ALPACABUSD,0.286,0.2933,0.2751,0.2821,276803.3,78228.22015,828
1.67841E+12,3/10/2023,ALPACABUSD,0.2938,0.2952,0.2753,0.2863,810474.2,231487.5181,2429
1.67832E+12,3/9/2023,ALPACABUSD,0.3161,0.3275,0.2922,0.2939,1290861.8,399084.486,3102
1.67823E+12,3/8/2023,ALPACABUSD,0.3197,0.353,0.3128,0.3161,6552597.7,2191936.44,18169
1.67815E+12,3/7/2023,ALPACABUSD,0.2963,0.3466,0.2925,0.319,11135273.1,3661459.464,25697
1.67806E+12,3/6/2023,ALPACABUSD,0.2901,0.2999,0.2881,0.2965,150789,44212.5206,641
1.67797E+12,3/5/2023,ALPACABUSD,0.2882,0.2945,0.2871,0.2922,126520.7,36843.94237,402
1.67789E+12,3/4/2023,ALPACABUSD,0.2963,0.2963,0.285,0.2887,186973.5,54411.56178,575
1.6778E+12,3/3/2023,ALPACABUSD,0.3058,0.3115,0.292,0.2967,1304536.1,393664.646,3490
1.67772E+12,3/2/2023,ALPACABUSD,0.3194,0.32,0.3005,0.3065,390450.6,120243.3681,994
1.67763E+12,3/1/2023,ALPACABUSD,0.3069,0.3239,0.305,0.3195,317009.3,99824.46746,925
1.67754E+12,2/28/2023,ALPACABUSD,0.3215,0.325,0.3056,0.3067,453481.8,141864.0247,1417
1.67746E+12,2/27/2023,ALPACABUSD,0.328,0.3381,0.3138,0.3211,1199003.9,392253.4393,3346
1.67737E+12,2/26/2023,ALPACABUSD,0.3087,0.3327,0.3069,0.328,629007.7,203063.9903,1759
1.67728E+12,2/25/2023,ALPACABUSD,0.3166,0.3201,0.3052,0.3102,225076.8,70356.79225,856
1.6772E+12,2/24/2023,ALPACABUSD,0.3222,0.3286,0.3111,0.3166,500367.9,160731.2009,1457
1.67711E+12,2/23/2023,ALPACABUSD,0.3155,0.3311,0.3155,0.3217,433439.7,140235.5108,1586
1.67702E+12,2/22/2023,ALPACABUSD,0.3212,0.3227,0.3003,0.3144,617232.4,191313.1397,2004
1.67694E+12,2/21/2023,ALPACABUSD,0.3333,0.3382,0.3152,0.3212,537510.3,175152.1888,1835
1.67685E+12,2/20/2023,ALPACABUSD,0.3009,0.3432,0.2978,0.3337,2509460.3,816760.6166,7227
1.67676E+12,2/19/2023,ALPACABUSD,0.2978,0.3097,0.2916,0.3012,596819.3,179275.0201,1825
1.67668E+12,2/18/2023,ALPACABUSD,0.3039,0.307,0.296,0.2991,379910.3,114366.3475,871
1.67659E+12,2/17/2023,ALPACABUSD,0.2888,0.3073,0.2863,0.3028,781799.3,235032.0197,2226
1.67651E+12,2/16/2023,ALPACABUSD,0.2899,0.3154,0.2863,0.2885,2745070.7,830050.5075,6739
1.67642E+12,2/15/2023,ALPACABUSD,0.2781,0.2928,0.274,0.2895,445804.5,126346.0207,1458
1.67633E+12,2/14/2023,ALPACABUSD,0.2673,0.28,0.2645,0.2774,392000.1,106542.3712,994
1.67625E+12,2/13/2023,ALPACABUSD,0.2787,0.2802,0.2614,0.2674,642172.9,172188.2703,2278
1.67616E+12,2/12/2023,ALPACABUSD,0.2837,0.2872,0.2759,0.2787,551968.9,154480.8064,1334
1.67607E+12,2/11/2023,ALPACABUSD,0.2761,0.2857,0.2753,0.2836,285229.8,80409.02542,935
1.67599E+12,2/10/2023,ALPACABUSD,0.2753,0.2811,0.2719,0.2761,355304.8,98511.01258,1258
1.6759E+12,2/9/2023,ALPACABUSD,0.2965,0.2972,0.2737,0.2756,780947.2,222680.4071,2735
1.67581E+12,2/8/2023,ALPACABUSD,0.2956,0.2973,0.2865,0.2964,341036.9,99989.89773,1238
1.67573E+12,2/7/2023,ALPACABUSD,0.2833,0.3025,0.282,0.2957,1370207.8,403139.6351,4328
1.67564E+12,2/6/2023,ALPACABUSD,0.2803,0.2893,0.2767,0.2833,487658.4,138244.2959,1511
1.67556E+12,2/5/2023,ALPACABUSD,0.292,0.298,0.2751,0.2804,746831.4,213079.0856,2152
1.67547E+12,2/4/2023,ALPACABUSD,0.2877,0.298,0.2832,0.292,751561.6,219445.9582,1714
1.67538E+12,2/3/2023,ALPACABUSD,0.2865,0.2905,0.2809,0.2876,435709.9,124671.0449,1560
1.6753E+12,2/2/2023,ALPACABUSD,0.2935,0.3001,0.2856,0.286,737958.9,217512.1143,2289
1.67521E+12,2/1/2023,ALPACABUSD,0.2886,0.2952,0.2774,0.2933,537162.7,154195.8211,1896
1.67512E+12,1/31/2023,ALPACABUSD,0.272,0.2974,0.2705,0.2887,1328177.6,378920.2848,3919
1.67504E+12,1/30/2023,ALPACABUSD,0.2905,0.2933,0.2662,0.2724,548685.2,152595.9361,1703
1.67495E+12,1/29/2023,ALPACABUSD,0.2801,0.2923,0.2794,0.2903,434626.2,124160.753,1234
1.67486E+12,1/28/2023,ALPACABUSD,0.2855,0.2891,0.2781,0.2801,307861.8,87195.46152,996
1.67478E+12,1/27/2023,ALPACABUSD,0.2786,0.2881,0.2718,0.2855,654573.9,184144.448,1789
